node_id,code,reason,surfacings,snippet
gnyg9jfsbx18xv1p54iyw2od,always-on-background-loop-monitoring,obs_type:progress,184,"Build/test succeeded: gh pr comment 433 --body ""$(cat <<'EOF' ## Sprint SUPERVISOR-002 — Always-On Guarantee for Backgro"
t8j3ixoe7uo5uke3kihbe307,auto-92957010b2b9,"pattern:(?i)(?:\bfully\s+implemented\b|\bPR\s*#\d+\s+(?:was\s+)?merged\b|\bcommitted\s*\([0-9a-f]{6,40}\)|\bimplemented\s*,\s*committed\b)",169,"Phase 9.4 Plugin-Specific Triggers fully implemented, committed (0a7de6b), pushed, PR #66 merged to main, branch re-push"
qoaje054mbhfhyomfkkqbf6v,must-complete-sprint-checklist,pattern:(?i)^sprint plan\b,143,SPRINT PLAN MANDATORY CHECKLIST (v1.0):  - [ ] Build compiles: go build ./... - [ ] Lint passes: golangci-lint run ./...
dhrwx1lwul0somzl9ba5h2jl,sprint-backup-restore-verify,obs_type:progress,139,"Sprint BACKUP-RESTORE-VERIFY-001 complete, PR #434. The live round-trip caught two always-broken defects: (1) retention "
xinav070869vupakkxupwj8u,forensic-readiness-gap-analysis,pattern:(?i)^(?:sprint|phase|pr)\s+[#\w./+-]*\d[#\w./+-]*[^\n]*?\b(?:fully\s+)?(?:complete|completed|implemented|shipped|merged|executed|done)\b,104,Phase 14 Epic 0 forensic complete. Closed Phase 13 Epic 6 wiring gap (V0017 retrieval_audit writer was never instantiate
ase3txzzll1110w5dpssixhy,auto-74eecbe04c8e,obs_type:error,78,Bash error in command: go build ./... && /Users/reh3376/go/bin/golangci-lint run ./internal/ape/... ./internal/cli/... .
sqxfqfq24fsziswwaeivh5zx,auto-01dba21643cf,"pattern:^\s*#{1,6}\s",77,"# INGESTION Plugin Template  ## manifest.json {""id"":""PLUGIN_ID"",""name"":""PLUGIN_NAME"",""version"":""1.0.0"",""type"":""INGESTION"
j8tzoboum4yyg0x74y8yzhb2,must-use-cuid2-for-all-identifiers,obs_type:progress,74,Build/test succeeded: cat >> internal/retrieval/column_context_test.go << 'EOF'  // CONTEXT-LIVE-001: cross-version fing
ao00qaq7f62m2s3m7bydvd4o,rrf-scale-002-cache-key-002-merged,obs_type:progress,62,RRF-SCALE-002+CACHE-KEY-002 merged (PR #430). Session totals: 9 sprints shipped — Phase 1 complete (6/6) + Phase 2 at 2/
iskaknbk80s7l71w5q2lsm2h,sprint-backup-restore-verify,obs_type:progress,62,"Sprint BACKUP-RESTORE-VERIFY-001 complete, PR #434. The live round-trip caught two always-broken defects: (1) retention "
hdsnqbvhcxnara9qcd6xfd0c,must-document-before-implementation,pattern:(?i)^sprint plan\b,42,"SPRINT PLAN FORMAT v1.0 — 12 SECTIONS (7 required + 5 if-applicable):  1. Header & Metadata (REQUIRED): Sprint name, dat"
ol05l8u98omuox36wv47llku,must-complete-sprint-checklist,pattern:(?i)^sprint plan\b,42,SPRINT PLAN MANDATORY CHECKLIST (v1.0):  - [ ] Build compiles: go build ./... - [ ] Lint passes: golangci-lint run ./...
hbpaz1i4xfodrl9ovz63yg3p,executor-snapshot-consistency-must-share,obs_type:progress,39,Build/test succeeded: cat > /Users/reh3376/mdemg/internal/ape/tombstone_predicate_test.go <<'EOF' package ape  import ( 
zukwecyz52rg0q5c76zzcidz,hidden-churn-003-resolved,obs_type:progress,28,"RESOLVED — HIDDEN-CHURN-003 shipped 2026-06-25, closing the must-fix defect logged earlier (obs ac9kyykvavz7myfc55ru87xy"
k1h0mn6lf4c4h68rg1j3obpo,must-document-before-implementation,pattern:(?i)^sprint plan\b,27,"SPRINT PLAN FORMAT v1.0 — 12 SECTIONS (7 required + 5 if-applicable):  1. Header & Metadata (REQUIRED): Sprint name, dat"
rclumkp155l618okjgbw7jlm,must-master-bash-sed-edit-auto-12cd38bcf86b-cms-tr,obs_type:error,27,"Bash error in command: cd /Users/reh3376/mdemg-docaudit && sed -n '144,155p' docs/sidecar/configuration.md && sed -n '25"
