nid, code, name
"cy3qnjx84mxwuy0i0gi33h6z", "always-commit-before-goreleaser", "Never use git stash as a workaround for goreleaser dirty-state checks"
"jwvw5h8ajilmop040uzpiqbk", "always-follow-12-section-format", "CORRECTION REINFORCEMENT: Labeling the apt-publish GPG failure as pre-existing to avoid fixing it vi"
"f7mjscmsy5uhem8suc9p73up", "always-use-cuidv2", "CRITICAL LESSON: NEVER use mdemg db start when the original Neo4j was launched via docker compose"
"icl330pvolml0xddeczu3bm0", "auto-29156377a1de", "NEVER use mdemg db start — ALWAYS use docker compose up -d neo4j"
"ojtkyvt80m701l7jynj0ybt1", "auto-56a21b196aea", "CORRECTION: Never hardcode values in production code"
"mfm4i6l9pb1nugun9egce9c6", "auto-7b6f52c5be6a", "After merging a PR to main via --admin, if the dev branch has more work to push, rebase the dev bran"
"mneillcjm9b348w7eoyysm87", "auto-99cc04d4866f", "Jiminy gap: user had to explicitly request plan mode before a sprint-plan review/modification task"
"ot7622yoe0x1q60zkqbiawo1", "auto-b48d40e79848", "After completing development of new features/functionality that requires rebuild and restart of mdem"
"gyrdccrdpcg01vnc5hwfxfwu", "auto-db74ce43c0d3", "[must] All unique identifiers in MDEMG must use CUIDv2 (nrednav/cuid2), NOT UUID v4"
"zttelyrgdggb045p9nl3fnfr", "auto-ec80a392e713", "CORRECTION REINFORCEMENT: never trust an unordered sample for novelty — the earlier assumption was w"
"w6l910lztpntwlv4gdawy2od", "branch-protection-must-be-enforced", "CORRECTION: I attempted to commit directly to the main branch bypassing the dev-branch workflow"
"t1573m9kuawn47yf71zfsv5d", "cluster-conversation-obs-edge-type-mismatch", "CRITICAL BUG FOUND: ClusterConversations had edge type mismatch — orphan filter checked THEME_OF but"
"x47b5xku4nqeph8hlntmf8cu", "co-located-conversation-memory", "MDEMG codebase ingestion must use space_id=mdemg-dev (Claude CMS space), NOT a separate space"
"igtz7vhy844cngs49xxv2bhw", "correction-guardrail-pinned-permanent-auto-5a20120", "CORRECTION: Incorrect: silently deferred a failing test as pre-existing | Correct: fix every discove"
"mqaibfc46k0utox5xprrfag7", "e2e-tests-before-commit", "CRITICAL WORKFLOW: implement → lint → e2e test → restore state → update docs → stage → commit"
"lt2943ag3pwadz2qqob7biyf", "enforce-jiminy-constraint-blockers", "ARCHITECTURAL DIRECTIVE 2026-08-01 (operator): Jimini's purpose is to ENFORCE hard constraints on th"
"dcgkim6e6s5ck5b8puvkqb70", "epic-sequencing-enforce", "CORRECTION: Do NOT parallelize epics"
"iidzxzceeqo9sabigpqmxxap", "file-path-access-tracker", "MANDATORY: Every phase development doc MUST end with a Documents Accessed list — every file read or "
"jgvvgmihvclbscjttpirb8bj", "live-test-correction-coverage", "Live test for type: correction"
"j5i19trrgg1tpo7xm34yupme", "mandatory-cms-usage-tracking", "Standing directive: Ensure CMS framework is used as intended at all times"
"gs7wx6alww0o643fyuoi4j5n", "mandatory-e2e-live-check-auto-3555522c328e-guardra", "MANDATORY WORKFLOW: ALWAYS run e2e testing once a new section of development is complete"
"libdd29x50s29v5u2l6o2lye", "mandatory-follow-corrected-workflow", "CRITICAL WORKFLOW VIOLATION (Phase 101): Declared implementation complete and presented a commit-rea"
"bxz6hssryy6jg6gld0mwet9n", "mdemg-cms-memory-only", "Markdown memory files ("
"r58lfhaqcgdkedanlv9ws01l", "must-master-bash-sed-edit", "CRITICAL CORRECTION: Do NOT modify code without first switching to planning mode and creating a deve"
"ymehdkihmj2yiu7t3bywsgxc", "never-commit-to-main-directly", "CORRECTION: Incorrect: I committed directly to main branch, bypassing the dev-branch workflow (git c"
"xo5j4upcvw09jhiizvx9wr29", "never-direct-main-commits", "CONSTRAINT: NEVER commit directly to main branch"
"ygg1bi95w53bhh6eaesohgel", "never-manual-pr-author-field", "CORRECTION: When a foundational CI trigger (e"
"sxslg5jb70p3lqxl3nn3vg4b", "never-stash-goreleaser", "CORRECTION: Never use git stash as a workaround for goreleaser dirty-state checks"
"udj36wr5pmwcgmlel3ffndtw", "no-direct-main-commits-must-master-cms-usage-track", "CORRECTION: Incorrect: I committed directly to main branch, bypassing dev-branch + PR workflow — thi"
"z2s4nlb6j7nzwogv2670oqyr", "no-hardcode-pool-sizes", "CORRECTION: Do not hardcode connection pool sizes"
"mg7y7kxiakxnm2ubbr49cqij", "no-skip-context-research", "At 105+ phases, 2000+ line API docs, and 60+ files per commit, the planning protocol is not overhead"
"tpv3o1dkjerngi91giztmid9", "no-unordered-limit-sampling", "CORRECTION: the previous approach was wrong — never use the unordered LIMIT sample for novelty; this"
"to2ige27qjqejfn3jk29y6ao", "openai-completion-token-requirement", "RECURRING BUG (3rd occurrence): OpenAI chat/completions API — newer models (gpt-5"
"kmiwfaprr4o4m63k5mhhm6s1", "own-all-test-failures-immediately", "Standing directive: If a test failure is found during any work, it is my responsibility to fix it im"
"gsnfr0orcdct6e2kqwl3yb50", "project-planning-docs-in-repo-only", "CORRECTION: Sprint plans (and all project planning docs) belong in docs/development/<sprint-line>/ i"
"eq908c7luxc9wwdgfhyaogwb", "query-mdemg-cms-file-paths", "Do NOT use glob/grep to search for file paths"
"xbiygqcxx7t49gsobx2fcx6r", "resolve-issues-immediately", "MANDATORY RULE: Never leave discovered issues unresolved"
"sc2qw139e12e7xosg9b23b1f", "trust-signal-disconnect-correction-guardrail", "J17 trust score 25"
"d9g5ctprlomfum1c0i8cadqd", "user-corrected-docker-compose-start", "User corrected: use docker compose, not mdemg db start"
