nid, code, name, content
"cy3qnjx84mxwuy0i0gi33h6z", "always-commit-before-goreleaser", "Never use git stash as a workaround for goreleaser dirty-state checks", "Never use git stash as a workaround for goreleaser dirty-state checks. Commit all pending changes BEFORE running goreleaser."
"jwvw5h8ajilmop040uzpiqbk", "always-follow-12-section-format", "CORRECTION REINFORCEMENT: Labeling the apt-publish GPG failure as pre-existing to avoid fixing it violates the zero-tole", "CORRECTION REINFORCEMENT: Labeling the apt-publish GPG failure as pre-existing to avoid fixing it violates the zero-tolerance policy. Memory already says: NEVER leave test failures unfixed, even pre-existing ones. NEVER bypass failed tests or bugs found during development. Fix them NOW, not later. This was a double violation: (1) dismissed a found bug as not-our-problem, (2) did not enter plan mode to investigate and fix."
"f7mjscmsy5uhem8suc9p73up", "always-use-cuidv2", "CRITICAL LESSON: NEVER use mdemg db start when the original Neo4j was launched via docker compose", "CRITICAL LESSON: NEVER use mdemg db start when the original Neo4j was launched via docker compose. docker compose uses volume mdemg_neo4j_data (underscores, project-prefixed) while mdemg db start creates mdemg-neo4j-data (hyphens). The original volume contains ALL CMS memory (34,416 nodes). Always use docker compose up -d neo4j to preserve data. The .env must use NEO4J_PASS=testpassword to match docker-compose.yml."
"icl330pvolml0xddeczu3bm0", "auto-29156377a1de", "NEVER use mdemg db start — ALWAYS use docker compose up -d neo4j", "NEVER use mdemg db start — ALWAYS use docker compose up -d neo4j. The mdemg db start command creates a DIFFERENT volume with EMPTY data."
"ojtkyvt80m701l7jynj0ybt1", "auto-56a21b196aea", "CORRECTION: Never hardcode values in production code", "CORRECTION: Never hardcode values in production code. Always use configurable variables (CLI flags, env vars, config files). Hardcoded values create static code that requires source modification to change behavior — users should be able to configure runtime behavior without understanding or modifying the code. Use defaults as fallbacks, but expose every configurable value through the configuration hierarchy. Why: Hardcoded paths, endpoints, space IDs, timeouts, and model names make code non-portable, non-reusable, and require code changes for what should be operational configuration. This was caught in the benchmark runner which had hardcoded CODEBASE_PATH, MDEMG_ENDPOINT, MDEMG_SPACE_ID, etc."
"mfm4i6l9pb1nugun9egce9c6", "auto-7b6f52c5be6a", "After merging a PR to main via --admin, if the dev branch has more work to push, rebase the dev branch onto main (git pu", "After merging a PR to main via --admin, if the dev branch has more work to push, rebase the dev branch onto main (git pull --rebase origin main) BEFORE pushing the next commit. This keeps the branch linear and avoids merge commits that force squash-merging. In PR #172, the GPG fix was admin-merged to main via PR #171, then the docs commit was pushed to reh3376_dev01 without rebasing — git created a merge commit, resulting in 4 commits (3 real + 1 merge) that required squash to keep history clean."
"mneillcjm9b348w7eoyysm87", "auto-99cc04d4866f", "Jiminy gap: user had to explicitly request plan mode before a sprint-plan review/modification task", "Jiminy gap: user had to explicitly request plan mode before a sprint-plan review/modification task. Jiminy did not fire a pre-action directive. Investigation item: check if Jiminy classifier has rule for \"review plan / modify plan\" actions, and whether /strict would have caught this. Follow-up: run jiminy_effectiveness_report.py --days 7."
"ot7622yoe0x1q60zkqbiawo1", "auto-b48d40e79848", "After completing development of new features/functionality that requires rebuild and restart of mdemg server, it should", "After completing development of new features/functionality that requires rebuild and restart of mdemg server, it should occur automatically without requiring user input. Build + restart should be part of the development completion flow."
"gyrdccrdpcg01vnc5hwfxfwu", "auto-db74ce43c0d3", "[must] All unique identifiers in MDEMG must use CUIDv2 (nrednav/cuid2), NOT UUID v4", "[must] All unique identifiers in MDEMG must use CUIDv2 (nrednav/cuid2), NOT UUID v4. This is a project-scoped requirement across main repo and all submodules. CUIDv2 is collision-resistant, k-sortable, and shorter. uuid.New() and uuid.NewString() are banned patterns. Use cuid2.Generate() instead."
"zttelyrgdggb045p9nl3fnfr", "auto-ec80a392e713", "CORRECTION REINFORCEMENT: never trust an unordered sample for novelty — the earlier assumption was wrong and must not", "CORRECTION REINFORCEMENT: never trust an unordered sample for novelty — the earlier assumption was wrong and must not recur. Use exact nearest-neighbor ranking."
