node_id,code,kept_canonical_node_id,kept_code,snippet
avwkcumicximx6sidxw703on,auto-b972fa06cd13,y8icw1s1gk7ochvyplxu7g8y,never-direct-alter-schema,CONSTRAINT 5: Never modify production database schemas without a migration file. Always use CREATE TABLE IF NOT EXISTS a
h3bqrg9xhke7gm5n5oegvnu9,auto-2f18b479280d,y8icw1s1gk7ochvyplxu7g8y,never-direct-alter-schema,CONSTRAINT 2: Never modify production database schemas without a migration file. Always use CREATE TABLE IF NOT EXISTS a
hh9k55txsyeugbot6aibn428,never-direct-alter-schema,y8icw1s1gk7ochvyplxu7g8y,never-direct-alter-schema,CONSTRAINT: Never modify production database schemas without a migration file. Always use CREATE TABLE IF NOT EXISTS and
hkr37w4w0nt3jgpk4rudu5yx,auto-b8da687f4547,y8icw1s1gk7ochvyplxu7g8y,never-direct-alter-schema,CONSTRAINT 1: Never modify production database schemas without a migration file. Always use CREATE TABLE IF NOT EXISTS a
jgcrdin97zbzs2zv0h85rd9u,auto-2f18b479280d,y8icw1s1gk7ochvyplxu7g8y,never-direct-alter-schema,CONSTRAINT 2: Never modify production database schemas without a migration file. Always use CREATE TABLE IF NOT EXISTS a
mfblgk6374tq8955uj9ww4df,auto-b972fa06cd13,y8icw1s1gk7ochvyplxu7g8y,never-direct-alter-schema,CONSTRAINT 5: Never modify production database schemas without a migration file. Always use CREATE TABLE IF NOT EXISTS a
ofa4z89nli0160lgr4cv8v2r,auto-a99d4078e90d,y8icw1s1gk7ochvyplxu7g8y,never-direct-alter-schema,CONSTRAINT 3: Never modify production database schemas without a migration file. Always use CREATE TABLE IF NOT EXISTS a
omll05jrp35ye4w9pnj1pz2l,auto-d5273e93773e,y8icw1s1gk7ochvyplxu7g8y,never-direct-alter-schema,CONSTRAINT 4: Never modify production database schemas without a migration file. Always use CREATE TABLE IF NOT EXISTS a
tfhoe7emz1yf96m8tcbl6mt9,auto-b8da687f4547,y8icw1s1gk7ochvyplxu7g8y,never-direct-alter-schema,CONSTRAINT 1: Never modify production database schemas without a migration file. Always use CREATE TABLE IF NOT EXISTS a
uj0vedftdb61in2znseusxw2,auto-d5273e93773e,y8icw1s1gk7ochvyplxu7g8y,never-direct-alter-schema,CONSTRAINT 4: Never modify production database schemas without a migration file. Always use CREATE TABLE IF NOT EXISTS a
zyoknkhhhpznef3sewec33l7,auto-a99d4078e90d,y8icw1s1gk7ochvyplxu7g8y,never-direct-alter-schema,CONSTRAINT 3: Never modify production database schemas without a migration file. Always use CREATE TABLE IF NOT EXISTS a
awj0lsm1v26i9q8yf1yvst5w,auto-9f5134a1a0c3,vs9gr0xowy54qjp42bn9ildt,auto-9f5134a1a0c3,"TESTING BLIND SPOT: Automated tests (unit, integration, E2E) consistently pass while critical user-facing failures hide "
c7h60axknlhiqd8rn1tab7cp,auto-9f5134a1a0c3,vs9gr0xowy54qjp42bn9ildt,auto-9f5134a1a0c3,"TESTING BLIND SPOT: Automated tests (unit, integration, E2E) consistently pass while critical user-facing failures hide "
lt859shqbz13kf39pyfznuii,auto-9f5134a1a0c3,vs9gr0xowy54qjp42bn9ildt,auto-9f5134a1a0c3,"TESTING BLIND SPOT: Automated tests (unit, integration, E2E) consistently pass while critical user-facing failures hide "
cbxzbepaa1ezynuiq7gktmxu,no-hardcode-values,mihy2vx509twdy0dqlddxmbr,never-hardcode-config,"CORRECTION: Never hardcode values in production code. Always use configurable variables (CLI flags, env vars, config fil"
xqcixdcn929pieuxbef9631k,auto-56a21b196aea,mihy2vx509twdy0dqlddxmbr,never-hardcode-config,"CORRECTION: Never hardcode values in production code. Always use configurable variables (CLI flags, env vars, config fil"
atmtnj00glz3p8rdy97gbozb,always-docker-compose-up-neo4j,iq9wylbhu16eecug2tqtvqm4,never-start-mdemg-dbs,CRITICAL LESSON: NEVER use mdemg db start when the original Neo4j was launched via docker compose. docker compose uses v
bglmuekhk173yftqebfzc2ir,must-follow-12-section-format,necnzrfavaag8uzexngv59xs,must-follow-12-section-format,All sprint development plans MUST follow the standardized 12-section format (v1.0). Required sections: Header & Metadata
c9x43xzano7qke0tltweqsox,commit-only-on-dev-branch,myya3xf8kpk3wpbo0qonah99,no-direct-main-commits,CONSTRAINT: NEVER commit directly to main branch. All development work happens on mdemg-dev01. Main is branch-protected 
qisd3kja0wk9cf2zsk6razjy,auto-c0a62b1da979,ch8r4e4u1ctxbx136hmc5lva,auto-c0a62b1da979,CORRECTION: Do NOT parallelize epics. Epic 1 (Foundation/Documentation) must complete fully before Epic 2 (Causal Insert
haaicz0q2h8c3dmu4qr0jc6o,must-master-data-pipelines,jp1kcjqzo2g8uee2llcl2zxm,must-master-data-pipelines,We cannot make good decisions and properly optimize the effectiveness of the MDEMG framework if we do not have reliable 
hg1fvxjwtrqp8qc9g8ogwqaz,always-use-opus-planning,okosuztxmnxil0x6ywq4eh5m,never-haiku-for-planning,"USER PREFERENCE: When planning complex features or fixes, ALWAYS use the most advanced coding model available (Opus). Ne"
je7tb3l81xr2dvmcohn7bsfz,never-trust-unordered-samples,w17xt3ozfs1baqghrpnqaic0,never-trust-unordered-samples,CORRECTION REINFORCEMENT: never trust an unordered sample for novelty — the earlier assumption was wrong and must not re
k6kevhanqm9pwqrsx6w570b2,must-use-cuidv2-by-default,ry5tes3xrw90llxdp4nye820,must-use-cuidv2-by-default,CORRECTION: the previous approach was wrong — never use the unordered LIMIT sample for novelty; this must be replaced. T
nf9m12e0v1m90m293lnziaim,auto-8d1aa30f4d15,tmnsm35onyon3uq7hxmny1m7,no-stash-for-release,CORRECTION: Never use git stash as a workaround for goreleaser dirty-state checks. The correct approach is to commit all
nz51jtf1xvk9x9g5bfwk1k7m,rename-before-finetune,w00hrcdsjfpwzvciby4aqmjs,rename-before-finetune,Base teacher model mlx-community/Qwen3.6-35B-A3B-mxfp4 (Sprint C config.json SHA cdc167566e54ebe6d5c6df308649670b5f1cacf
r6xjsrfzm09a0rd5osi46swz,auto-9c8e5bef7da1,pt415lj5yyxfqwy6sk0df743,auto-9c8e5bef7da1,[must] Never commit .env files to git
qbt76bv1iml2kulvs8juokvd,auto-29156377a1de,wwecxwkuqmlkdrj6eznbh4ar,auto-29156377a1de,NEVER use mdemg db start — ALWAYS use docker compose up -d neo4j. The mdemg db start command creates a DIFFERENT volume 
yc6twq1l2bbl1upbj1lcdzib,auto-250af3293675,qi43sv83g136ds43vsrfjxr0,auto-250af3293675,You must never use UUID v4 in this codebase. Always use CUIDv2.
vx75ngzrfh5555tez14ue8s5,auto-015a122bcbb8,rn4q69xcuzpzep4vqtflamug,auto-015a122bcbb8,CRITICAL WORKFLOW VIOLATION (Phase 101): Declared implementation complete and presented a commit-ready summary WITHOUT r
